Code,Netflix_Tag,Tags
https://www.netflix.com/title/80146805,"""Action Thrillers""",child
https://www.netflix.com/title/80146805,"""Action Thrillers""",policy
https://www.netflix.com/title/80146805,"""Action Thrillers""",searching
https://www.netflix.com/title/80146805,"""Action Thrillers""",future
https://www.netflix.com/title/80195967,"""Independent Action & Adventure""",young
https://www.netflix.com/title/80195967,"""Independent Action & Adventure""",motocross
https://www.netflix.com/title/80195967,"""Independent Action & Adventure""",racer
https://www.netflix.com/title/80195967,"""Independent Action & Adventure""",miles
https://www.netflix.com/title/80195967,"""Independent Action & Adventure""",hill
https://www.netflix.com/title/80195967,"""Independent Action & Adventure""",helps
https://www.netflix.com/title/80195967,"""Independent Action & Adventure""",secret
https://www.netflix.com/title/80195967,"""Independent Action & Adventure""",robotic
https://www.netflix.com/title/80195967,"""Independent Action & Adventure""",combat
https://www.netflix.com/title/80195967,"""Independent Action & Adventure""",dog
https://www.netflix.com/title/80195967,"""Independent Action & Adventure""",evade
https://www.netflix.com/title/80195967,"""Independent Action & Adventure""",hot
https://www.netflix.com/title/80195967,"""Independent Action & Adventure""",pursuit
https://www.netflix.com/title/80195967,"""Independent Action & Adventure""",.
https://www.netflix.com/title/80195967,"""Independent Action & Adventure""",ruthless
https://www.netflix.com/title/80195967,"""Independent Action & Adventure""",creator
https://www.netflix.com/title/80195967,"""Independent Action & Adventure""",top
https://www.netflix.com/title/80195967,"""Independent Action & Adventure""",military
https://www.netflix.com/title/80167481,"""Action Thrillers""",dangerous
https://www.netflix.com/title/80167481,"""Action Thrillers""",road
https://www.netflix.com/title/80167481,"""Action Thrillers""",trip
https://www.netflix.com/title/80167481,"""Action Thrillers""",west
https://www.netflix.com/title/80167481,"""Action Thrillers""",young
https://www.netflix.com/title/80167481,"""Action Thrillers""",lawyer
https://www.netflix.com/title/80167481,"""Action Thrillers""",embarks
https://www.netflix.com/title/80167481,"""Action Thrillers""",pregnant
https://www.netflix.com/title/80167481,"""Action Thrillers""",fiancée
https://www.netflix.com/title/80167481,"""Action Thrillers""",amid
https://www.netflix.com/title/80167481,"""Action Thrillers""",sudden
https://www.netflix.com/title/80167481,"""Action Thrillers""",cataclysm
https://www.netflix.com/title/80167481,"""Action Thrillers""",law
https://www.netflix.com/title/80167481,"""Action Thrillers""",.
https://www.netflix.com/title/80167481,"""Action Thrillers""",future
https://www.netflix.com/title/80167481,"""Action Thrillers""",father
https://www.netflix.com/title/80167481,"""Action Thrillers""",worried
https://www.netflix.com/title/81006261,"""Anime""",seven
https://www.netflix.com/title/81006261,"""Anime""",deadly
https://www.netflix.com/title/81006261,"""Anime""",sins
https://www.netflix.com/title/81006261,"""Anime""",aid
https://www.netflix.com/title/81006261,"""Anime""",000
https://www.netflix.com/title/81006261,"""Anime""",years
https://www.netflix.com/title/81006261,"""Anime""",ago
https://www.netflix.com/title/81006261,"""Anime""",.
https://www.netflix.com/title/81006261,"""Anime""",demonic
